Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
66.0083,39.05122306,-84.68374318,876.3017529,0.1905153654,-0.1228529359,356.3228541,74.35981813,-0.1749094935
67.0083,39.05160617,-84.68377144,876.5657641,-0.05062713363,-0.1754037034,357.922448,81.72870189,-0.2460814731
68.0083,39.05202436,-84.68378987,876.8012204,-0.2692182229,-0.2110210897,0.5237220248,88.95621438,-0.2864180847
69.0167,39.05248057,-84.68378963,877.0360057,-0.2648285382,-0.2466108341,1.753450443,96.06268601,-0.3287570741
70.0083,39.05296181,-84.68377597,877.2189304,-0.1386229413,-0.3041159394,1.924304773,102.7796088,-0.4381987491
71.0083,39.05347812,-84.68375677,877.3815872,-0.04606666143,-0.3398786666,1.691922141,109.0906772,-0.4701286509
72.0083,39.05402365,-84.6837373,877.5053147,0.003808365519,-0.3553960386,1.341948584,115.0136482,-0.5711376174
73.0083,39.05459684,-84.68372004,877.5753521,0.02808963582,-0.3224530153,1.087480367,120.6555923,-0.6468421534
74.0083,39.05519631,-84.68370512,877.5996487,0.02401974094,-0.2833037897,1.001361337,126.0167983,-0.7294206758
75.0083,39.05582064,-84.68369135,877.5487668,0.01282919972,-0.2140491141,1.027278463,131.0767017,-0.835181297
76.0083,39.05646839,-84.68367745,877.4513243,0.00285650886,-0.1414426638,1.089778783,135.8488225,-0.934112951
77.0083,39.05713811,-84.68366265,877.2572499,0.01209472176,0.2934917431,1.151314876,140.2980389,-1.000634651
78.0083,39.05782741,-84.68364692,877.2225603,0.0406939474,4.921274922,1.177012842,143.9015331,-0.7216076798
79.0083,39.05852692,-84.68363206,880.212834,-2.465573318,11.99540857,1.038151251,144.194375,8.288407331
80.0083,39.05922124,-84.6836242,896.038408,-6.656215483,12.42811705,0.3859914489,142.9934167,19.94103423
81.0083,39.05991096,-84.68363003,919.1513357,-9.222493294,12.3413151,358.8739519,142.5692001,24.09156364
82.0083,39.06059936,-84.68365343,944.6119973,-8.519338946,11.76540745,357.0515956,142.5594884,24.74650986
83.0167,39.06128784,-84.68369486,970.3592576,-7.599431653,12.02710368,355.7655988,142.5222326,25.22575134
84.0083,39.06197577,-84.68375322,996.6288996,-6.823886462,11.99840787,355.2778779,142.4974436,25.56434728
85.0083,39.06266351,-84.68382565,1023.08471,-5.889780024,12.07534326,354.8240559,142.5347963,25.72123789
86.0083,39.06335106,-84.6839095,1049.785716,-4.595948742,12.31693215,354.0331766,142.5168129,26.12706813
87.0083,39.06403762,-84.68400298,1077.270503,-3.376317357,12.8583948,353.2401489,142.2800303,27.34398329
88.0083,39.06472185,-84.68410455,1106.307061,-2.370104781,13.32438021,352.8558334,141.8258818,29.10137653
89.0083,39.06540341,-84.68421189,1136.827194,-0.6028076391,13.38774882,352.8249449,141.3849653,30.13911356
90.0167,39.06608868,-84.68432257,1168.360074,0.4634756076,13.44872836,352.9871397,140.9691841,30.7306798
91.0083,39.06676169,-84.68443167,1199.382082,0.102676878,12.58285089,353.2033736,140.8273541,29.8049228
92.0083,39.0674419,-84.68454208,1228.773932,-0.9097835211,12.00469409,353.2167384,141.0678919,27.36544486
93.0083,39.06812438,-84.68465441,1256.127303,-2.438011564,11.96610961,352.8379549,141.3099925,25.88318271
94.0083,39.06880798,-84.68477142,1282.673908,-3.766076095,12.42566626,352.1225657,141.3707105,25.85651603
95.0083,39.06949058,-84.68489583,1310.009883,-3.865325084,13.22518605,351.2524009,141.0755374,27.45516376
96.0083,39.0701703,-84.68502855,1339.151734,-3.189347587,13.09769135,350.6736336,140.6649829,28.86277418
97.0083,39.07084812,-84.68516856,1368.820047,-2.205323916,12.8710488,350.4600597,140.4533531,28.71646665
98.0167,39.07152531,-84.68531373,1398.134143,-0.9166530404,12.80563634,350.3596437,140.3211802,28.30169727
99.0167,39.07220825,-84.68546284,1427.15195,0.4637784718,11.7689258,350.3063502,140.3627658,27.2057581
100.008,39.07288321,-84.68561064,1452.865575,1.099185504,9.811761413,350.4580452,141.1543816,22.55603591
101.008,39.07357108,-84.68576027,1473.385311,1.671472328,8.351533616,350.6502118,142.509693,16.84116872
102.008,39.07426805,-84.68590971,1488.320496,2.396587984,7.000730875,350.7589267,144.3219143,11.40085994
103.017,39.07498188,-84.68605966,1498.003325,3.147802449,5.620361501,350.9346036,146.6457729,6.111988975
104.025,39.0757031,-84.68620718,1502.276675,3.146508559,3.319292345,351.2584733,149.5507055,0.1888954921
105.017,39.07643314,-84.68635273,1500.7946,0.2065361936,6.312884639,351.7356343,152.2226199,-1.697597229
106.017,39.07718436,-84.68650152,1503.452672,-2.096627251,7.100148329,351.2886108,153.4922955,4.737713292
107.017,39.077935,-84.68665396,1511.355902,-1.301454909,7.965931379,350.3523924,154.6698428,9.349351037
108.008,39.07868317,-84.68681024,1523.997124,1.87779929,8.871165162,349.9882029,155.3877428,14.27968194
109.008,39.07944006,-84.68696775,1541.580305,5.31049966,10.1523754,350.8074068,155.7282168,19.31254627
110.017,39.08020468,-84.68711775,1564.511741,8.14343245,10.23897796,352.1360166,155.8830832,23.78283681
111.017,39.08096645,-84.68725216,1589.477406,8.710932851,9.478639331,353.348592,156.5721246,23.78266238
112.017,39.08173345,-84.68737121,1614.415705,7.488631017,10.29932933,354.3053705,157.1327161,24.79855393
113.008,39.08249011,-84.68747385,1641.159705,5.768306973,11.43026911,354.8307821,157.1783032,28.08530601
114.008,39.08326504,-84.68756699,1672.79533,4.541027903,12.82315561,355.2127168,156.6450099,33.04578096
115.008,39.08402932,-84.68764979,1709.472643,3.354320154,14.09532115,355.6008764,155.6664403,38.47877795
116.008,39.08478706,-84.68772531,1751.453435,2.239314259,15.24254042,355.8928911,154.3595459,43.58557362
117.008,39.08553679,-84.6877957,1798.160585,1.14332934,16.25773206,355.9505545,152.8107762,47.92152847
118.008,39.08627761,-84.68786335,1848.782505,-0.2605059963,16.84585294,355.7997919,151.1092347,51.30195582
119.017,39.08701665,-84.68793146,1901.889571,-0.01115301036,16.20392147,355.5339906,149.8091794,51.64067935
120.017,39.08774533,-84.68799944,1953.508179,1.826844677,15.52180208,355.4323268,148.9120853,49.60995219
121.017,39.08847243,-84.68806577,2002.483619,4.267857611,14.73699682,355.7688377,148.3401666,46.46659298
122.025,39.08919986,-84.68812679,2048.096519,6.64522403,14.12385189,356.5225174,148.029748,43.06830435
123.017,39.08992853,-84.68817824,2090.532118,8.659437735,13.63332667,357.4928382,147.8685231,40.13575974
124.017,39.09065888,-84.68821623,2130.186427,10.44526993,13.08220692,358.5533939,147.8527334,37.42953081
125.017,39.09139142,-84.68823766,2167.147931,11.91607655,12.48378954,359.762725,148.0034031,34.73244247
126.008,39.0921144,-84.68824004,2200.833599,13.20306026,11.84122808,1.124480814,148.3296153,31.99630783
127.017,39.09286509,-84.688221,2232.882065,11.74526129,11.2253254,2.737164634,148.8516744,29.29364564
128.017,39.09360028,-84.68818171,2262.092809,10.03133308,11.51193654,4.123216653,149.3115408,28.2656432
129.008,39.09433662,-84.68812331,2291.244718,8.682953391,11.80295789,4.908717804,149.5513638,28.87916618
130.017,39.09509165,-84.68804652,2321.846712,7.662390255,11.77084863,5.514961815,149.7551922,29.44400961
131.017,39.09583453,-84.6879571,2352.343144,7.00640139,11.91072045,6.301374591,149.9510761,29.83709403
132.017,39.09656478,-84.68785683,2382.973514,6.791619685,12.19676952,7.134267851,150.0276242,30.7594932
133,39.09730635,-84.6877425,2415.184279,6.770735949,12.4464746,7.89258698,150.004285,31.89067103
134,39.09804628,-84.68761587,2448.509375,6.734625934,12.68531504,8.604494019,149.9034195,32.98188754
135,39.09878415,-84.68747725,2482.898236,6.663594842,12.8940856,9.341039864,149.7344789,34.01356459
136.008,39.09952594,-84.68732565,2518.404693,6.208048354,12.43707319,10.05952175,149.6347221,34.29983724
137.017,39.10026122,-84.68716462,2552.82363,4.328827895,12.12005131,10.76094693,149.860701,32.79884876
138,39.10099073,-84.68699676,2586.159798,2.203560013,12.18932205,11.05355486,149.9688345,32.72701793
139,39.10172677,-84.68682281,2619.574316,0.3834971867,12.12145434,10.8997847,150.1308811,32.37475058
140.008,39.10246998,-84.68664655,2653.06169,-1.200401584,12.09474584,10.58045804,150.2587333,32.29985981
141,39.10320233,-84.68647549,2685.846487,-1.857548847,11.9257491,10.27566364,150.4219333,31.99845741
142.017,39.10394893,-84.68630483,2718.771514,0.03299577791,11.7568062,9.967775816,150.6297087,31.50791272
143.008,39.10469111,-84.68613662,2750.895764,2.177955022,11.77856434,10.03866101,150.8406041,31.05153365
144,39.10542788,-84.68596751,2782.693039,3.268728668,12.23921147,10.60928834,150.9105522,31.54927116
145.008,39.10617643,-84.68579075,2815.937106,2.346788263,11.68724311,11.24899889,150.9681638,32.07694274
146.008,39.10691983,-84.6856105,2848.250957,1.58871787,11.33889194,11.44678417,151.3355794,30.77643894
147.017,39.10766534,-84.68542655,2879.399372,0.8414608722,11.17505016,11.23667144,151.7361653,29.78774582
148.017,39.10841312,-84.68524111,2909.803555,-0.3218501467,11.15469775,11.08336196,152.096691,29.32306303
149,39.10915691,-84.68505799,2939.692936,-1.321412801,11.1806404,11.01387967,152.4272091,29.21345483
150,39.10990905,-84.68487561,2969.994682,-1.609264226,11.37739517,10.77481666,152.6723734,29.68486237
151,39.11066279,-84.68469643,3000.94327,-1.807902919,11.51570145,10.42885688,152.8278823,30.41524972
152,39.11141787,-84.68452124,3032.623271,-2.114258234,11.64570732,10.13510187,152.9287818,31.13563713
153,39.11217412,-84.68435067,3065.025124,-2.389162977,11.81742113,9.869081169,152.9791184,31.87755005
154,39.11293126,-84.68418516,3098.225447,-2.579059824,12.0056335,9.537099477,152.9623618,32.72041808
155,39.11368897,-84.68402517,3132.277433,-2.841545958,12.26960452,9.141305092,152.8746012,33.60688473
156,39.11444033,-84.68387266,3167.165726,-2.647672163,12.82825464,8.689584354,152.6123486,35.08769672
157,39.11520291,-84.68372398,3204.49175,-1.330786727,13.22032968,8.298403825,152.1392114,37.06169604
158,39.11595706,-84.68358107,3243.145057,0.2563108551,13.45763867,8.247949332,151.6402193,38.36149124
159.017,39.11671499,-84.68343847,3283.282124,1.966951431,13.7626131,8.514455746,151.0886998,39.44313408
160.008,39.11745709,-84.68329638,3323.895354,2.9987893,14.58984402,8.962874066,150.3784227,40.98267572
161.008,39.11820012,-84.68314936,3366.986388,2.214429716,14.84070397,9.404353539,149.4373135,43.17319674
162.008,39.1189384,-84.68299928,3411.309439,0.7789027258,14.71646012,9.590690545,148.6999948,43.49039932
163,39.11967325,-84.68284819,3455.804144,-0.1370904769,15.15894265,9.371365021,147.9221362,43.90043429
164,39.120404,-84.6826986,3501.051347,-1.009258344,15.61834599,9.015202121,146.9696659,44.90081119
165,39.12113,-84.6825528,3547.406511,-1.65910386,16.03334671,8.753561339,145.8902274,46.07298569
166,39.12185106,-84.68241172,3594.730344,-0.6861020102,16.16945046,8.530646269,144.8061646,46.72337167
167.05,39.12255553,-84.68227619,3641.590797,0.8350762072,16.26532809,8.469514961,143.7745705,46.81274847
168,39.12327925,-84.6821368,3689.901137,2.420916859,16.03002933,8.721707596,142.782989,46.38192033
169.025,39.12399388,-84.68199638,3736.418897,2.394907026,14.77050105,9.25954792,142.2419492,43.70330345
170,39.12469675,-84.68185486,3778.815562,0.9333839918,14.45540835,9.706251432,142.0582801,40.3509471
171.008,39.12541155,-84.68170881,3819.456721,-0.5827158601,14.4075402,9.529816524,141.7841756,38.70578658
172,39.12611421,-84.68156584,3858.122775,-1.256763641,14.55146835,8.946234693,141.4925649,37.75722414
173,39.1268158,-84.68142594,3896.481447,-0.7202385549,14.92727807,8.458198194,140.9912697,38.05729101
174,39.12752118,-84.68128824,3935.560878,0.1871834717,14.95350743,8.464754163,140.4432519,38.32938071
175.008,39.12823616,-84.68114979,3975.363971,1.453249737,15.0022635,8.808728584,139.9368222,38.26409988
176,39.12893122,-84.68101347,4014.175093,2.681349551,15.40997061,9.180240111,139.3899313,38.46882721
177,39.12962835,-84.68087262,4054.053717,3.071740077,16.15050768,9.5458287,138.5818364,39.78848029
178.017,39.13032566,-84.68072654,4095.8765,3.029849553,16.72780275,9.911451552,137.5624338,41.50292041
179.008,39.13100529,-84.6805791,4138.543719,2.590970562,16.76251567,10.24819784,136.5234019,42.68550062
