latitude,longitude
39.04896319,-84.6838214
39.0489632,-84.6838214
39.04896322,-84.6838214
39.04896325,-84.6838214
39.04896328,-84.6838214
39.04896332,-84.6838214
39.04896336,-84.6838214
39.04896381,-84.6838214
39.04896812,-84.6838214
39.04898212,-84.68382144
39.04901005,-84.683822
39.04905289,-84.68382351
39.04911108,-84.68382614
39.04918447,-84.68382991
39.04927204,-84.68383444
39.04937514,-84.68383906
39.04949306,-84.6838418
39.04962451,-84.68383884
39.04977259,-84.68382602
39.04993303,-84.68379953
39.05010866,-84.6837637
39.05029629,-84.6837406
39.0505004,-84.68374798
39.05071358,-84.68377216
39.05094339,-84.68380567
39.05118247,-84.68384392
39.05143736,-84.68388213
39.05170647,-84.68391463
39.05199112,-84.68392954
39.05228167,-84.68390046
39.05257697,-84.68384289
39.05289071,-84.68376317
39.05321013,-84.68365523
39.05354617,-84.68354183
39.05388622,-84.68343099
39.05424661,-84.68331704
39.05460489,-84.68320742
39.05497519,-84.68309717
39.05534151,-84.68298804
39.05571437,-84.68287454
39.05609101,-84.68275493
39.05647101,-84.68262825
39.0568571,-84.6824952
39.05723952,-84.68236261
39.0576246,-84.68223076
39.05802009,-84.68209785
39.05841943,-84.68196587
39.05881781,-84.68183373
39.05921745,-84.68169773
39.05961488,-84.68155708
39.06001308,-84.68140973
39.06041285,-84.68125595
39.06082828,-84.68109134
39.06122912,-84.68092899
39.06164183,-84.68075946
39.06205585,-84.68058809
39.06246408,-84.68041885
39.06287666,-84.68024828
39.0632873,-84.68007916
39.06370698,-84.67990692
39.06412879,-84.67973368
39.06454553,-84.67956131
39.06496734,-84.67938435
39.06539045,-84.67920309
39.065811,-84.67901817
39.06592413,-84.67896753
39.06665801,-84.67862995
39.06708276,-84.67842822
39.06749874,-84.67822704
39.06791991,-84.67802073
39.06833586,-84.67781555
39.06875377,-84.67760926
39.0691636,-84.67740803
39.06957269,-84.67720944
39.06998496,-84.67701274
39.07039755,-84.67682037
39.07081789,-84.67662961
39.07123289,-84.67644582
39.07164686,-84.67626456
39.07206643,-84.67607961
39.07248632,-84.67589078
39.07290493,-84.6756987
39.07332553,-84.67550401
39.07374187,-84.67531187
39.07415503,-84.67512352
39.07457271,-84.67493693
39.07499561,-84.67475256
39.07541717,-84.6745733
39.07583399,-84.67439997
39.07626389,-84.67422478
39.07669629,-84.67405194
39.07712012,-84.67388553
39.07756037,-84.67371571
39.07799516,-84.67355087
39.07843138,-84.67338816
39.07886867,-84.67322754
39.07930667,-84.67306896
39.07974504,-84.67291234
39.08017989,-84.67275881
39.08062007,-84.67260356
39.08106027,-84.67244595
39.0815079,-84.67228069
39.08196305,-84.67210769
39.08241705,-84.67193237
39.08288764,-84.67174878
39.08336737,-84.67155713
39.08385124,-84.67135639
39.08434186,-84.6711442
39.08483345,-84.67092464
39.08533243,-84.67069989
39.08583347,-84.67047884
39.08633374,-84.67026778
39.08683602,-84.67006072
39.08732693,-84.66985659
39.0878194,-84.66964705
39.08830646,-84.66943695
39.08879773,-84.66922548
39.08929514,-84.6690107
39.08979547,-84.66878751
39.09029331,-84.66854911
39.09078531,-84.66828795
39.09127229,-84.66799894
39.09175943,-84.66767613
39.09223688,-84.66732539
39.09269928,-84.6669506
39.09314887,-84.6665495
39.0935839,-84.66612283
39.09399587,-84.66567925
39.09439876,-84.66520848
39.09479621,-84.66472306
39.09519316,-84.66423237
39.09558862,-84.66373813
39.09598085,-84.66322785
39.09635399,-84.662693
39.09670066,-84.66210952
39.09700232,-84.66150535
39.09727567,-84.66086282
39.09752034,-84.66018783
39.09773142,-84.65952521
39.09792976,-84.65884553
39.09811948,-84.65816756
39.09830332,-84.65749518
39.09847952,-84.65683051
39.09865188,-84.65614757
39.09881963,-84.65544373
39.0989796,-84.65474149
39.09913486,-84.65404065
39.0992915,-84.65330396
39.09943372,-84.65257941
39.09956866,-84.65182062
39.09968908,-84.65108027
39.09980433,-84.65031001
39.0999077,-84.64956257
39.10000651,-84.64880136
39.10010203,-84.64802587
39.10019195,-84.64726129
39.10027729,-84.64649503
39.10035624,-84.6457271
39.10042893,-84.64495741
39.10049733,-84.64419224
39.10056493,-84.64342486
39.10063443,-84.64264166
39.1007037,-84.6418613
39.10077063,-84.64108347
39.10083443,-84.64029546
39.10089535,-84.63949183
39.10095292,-84.63869975
39.10100906,-84.63791289
39.10106507,-84.63711824
39.10111962,-84.63632905
39.1011733,-84.63552547
39.10122452,-84.63472086
39.10127202,-84.63392883
39.10131685,-84.63312989
39.10136002,-84.63232464
39.10140361,-84.63153359
39.10145181,-84.63072971
39.10150351,-84.62993921
39.10155692,-84.62914816
39.10160964,-84.62834962
39.10166103,-84.6275437
39.10171133,-84.62673742
39.10176103,-84.62593787
39.10181096,-84.62514541
39.1018626,-84.62433986
39.10191355,-84.62355391
39.10196605,-84.62274706
39.10201806,-84.62194549
39.10206976,-84.62114223
39.10212082,-84.6203371
39.10217093,-84.61953002
39.10222015,-84.61871419
39.10226665,-84.61791677
39.10231286,-84.61709087
39.10235623,-84.61627773
39.10239688,-84.61547134
39.10243511,-84.61465835
39.10247038,-84.61384556
39.10249406,-84.61325647
39.10253267,-84.61221542
39.10256011,-84.6114208
39.10258699,-84.61061007
39.10261303,-84.60981109
39.10263863,-84.60903102
39.10266591,-84.60822424
39.10269305,-84.60744243
39.10271969,-84.60667014
39.10274484,-84.60589374
39.10276551,-84.6051133
39.10277796,-84.60434729
39.10278146,-84.60358215
39.10277778,-84.60281113
39.10276899,-84.60202712
39.10275657,-84.60125575
39.10274154,-84.60048448
39.1027252,-84.59971937
39.10270905,-84.59894083
39.10269704,-84.59817026
39.10269146,-84.59740253
39.10269221,-84.59663631
39.10269635,-84.59588323
39.10270013,-84.59511727
39.10270149,-84.59433874
39.10270057,-84.5935731
39.10269839,-84.59280705
39.10269581,-84.5920465
39.10269442,-84.59126596
39.1026967,-84.59049789
39.10270475,-84.5897422
39.10271987,-84.58895985
39.10274096,-84.58818904
39.10276685,-84.58743001
39.10279845,-84.58664445
39.10283391,-84.58587124
39.10287357,-84.58509783
39.10291662,-84.58433738
39.10296491,-84.58355791
39.10301714,-84.58278536
39.10307472,-84.58200694
39.10313683,-84.58123528
39.10320268,-84.58047582
39.1032749,-84.57970208
39.10335232,-84.57892643
39.10343466,-84.57813544
39.10351531,-84.5773679
39.10359668,-84.57658517
39.10367776,-84.5757945
39.10375771,-84.57500944
39.1038383,-84.5742174
39.10391758,-84.57344467
39.10400286,-84.57264566
39.10409252,-84.5718669
39.10419281,-84.57107646
39.10430246,-84.57029398
39.10442161,-84.56951153
39.10454553,-84.56874124
39.10467699,-84.56794294
39.10480552,-84.56716177
39.10493332,-84.56637128
39.10505683,-84.56558461
39.10517905,-84.56477535
39.10529342,-84.56398361
39.10540386,-84.56319032
39.10551477,-84.5623912
39.10563036,-84.56158029
39.10574652,-84.56079066
39.10586753,-84.5599882
39.10598868,-84.55919883
39.10611364,-84.55839554
39.1062389,-84.55759774
39.10636476,-84.55679778
39.10648991,-84.55600113
39.1066174,-84.55518661
39.10674436,-84.5543739
39.10687,-84.55357022
39.10699989,-84.55274213
39.10713118,-84.55191105
39.10726199,-84.55109201
39.10739492,-84.55027248
39.10753367,-84.54943972
39.10767807,-84.54860854
39.10782528,-84.54779995
39.10798292,-84.54696457
39.10813734,-84.54615598
39.10829444,-84.54532618
39.10844918,-84.54449637
39.1085992,-84.54368129
39.10875142,-84.54285499
39.10890373,-84.54204615
39.10906271,-84.54123559
39.10923106,-84.54042445
39.10940512,-84.53963208
39.10959011,-84.53883786
39.10978295,-84.53805508
39.10998669,-84.53726355
39.11019186,-84.5364947
39.11041122,-84.53570203
39.11063257,-84.53493028
39.1108639,-84.5341531
39.11110633,-84.53337096
39.11135621,-84.53259781
39.11161302,-84.53183447
39.11188247,-84.53106194
39.11215494,-84.53030563
39.11243897,-84.52954001
39.11272941,-84.52877773
39.1130232,-84.52802493
39.11331711,-84.52728764
39.11362564,-84.52652845
39.11393031,-84.52579096
39.11424291,-84.52504405
39.11455483,-84.52430613
39.1148652,-84.52357695
39.11517845,-84.52284399
39.11548869,-84.52211918
39.11580042,-84.52138967
39.1161132,-84.52065408
39.11641673,-84.51993553
39.11672896,-84.5191902
39.11703696,-84.51844752
39.11733823,-84.51771308
39.11764022,-84.5169688
39.11794329,-84.51621614
39.1182387,-84.5154823
39.11854033,-84.5147384
39.11884949,-84.51398653
39.1191543,-84.51325806
39.119464,-84.51253608
39.11978318,-84.51181629
39.12010845,-84.51111267
