Time,latitude,longitude,altitude,roll,pitch,heading,airspeed
261,39.04936879,-84.68382028,874.9963506,0.2269076804,-0.03032904648,0.1699803849,2.929551322
261.5,39.04936879,-84.68382028,874.9963514,0.2269040105,-0.03032995665,0.1699803799,2.929551249
262.008,39.04936879,-84.68382028,874.996352,0.2269033686,-0.03033054487,0.1699803773,2.929551502
262.508,39.04936879,-84.68382028,874.9963526,0.2269048476,-0.03033127023,0.1699803751,2.92955158
263.008,39.04936879,-84.68382028,874.9963533,0.2269064867,-0.03033206568,0.1699803726,2.929551656
263.508,39.04936879,-84.68382028,874.9963539,0.2269070508,-0.03033237063,0.1699803716,2.9295516
264.008,39.04936879,-84.68382028,874.9963548,0.2269063341,-0.03033379083,0.1699803658,2.929551366
264.5,39.04936879,-84.68382028,874.9963555,0.2269054446,-0.03033459415,0.1699803623,2.929551599
265,39.04936879,-84.68382028,874.9963563,0.2269061949,-0.03033523775,0.1699803601,2.929551358
265.5,39.04936879,-84.68382028,874.996357,0.2269037228,-0.03033574378,0.1699803571,2.929551581
266,39.04936879,-84.68382028,874.9963575,0.2269042271,-0.03033568653,0.1699803575,2.929551805
266.508,39.04936879,-84.68382028,874.9963581,0.2269055057,-0.03033594793,0.169980357,2.929551675
267,39.04936879,-84.68382028,874.9963588,0.2269061856,-0.03033659203,0.1699803548,2.929551618
267.5,39.04936879,-84.68382028,874.9963596,0.2269056813,-0.03033726764,0.1699803519,2.929551433
268.008,39.04936879,-84.68382028,874.9963606,0.2269064153,-0.0303386384,0.1699803469,2.92955162
268.508,39.04936879,-84.68382028,874.9963613,0.2269075563,-0.03033930908,0.1699803447,2.929551695
269,39.04936879,-84.68382028,874.9963619,0.2269082986,-0.03034001662,0.1699803422,2.929551744
269.5,39.04936879,-84.68382028,874.9963625,0.2269093163,-0.03034061849,0.1699803403,2.929551663
270.008,39.04936879,-84.68382028,874.9963631,0.2269069615,-0.03034120227,0.1699803371,2.929551408
270.5,39.04936879,-84.68382028,874.9963638,0.2269053941,-0.03034201105,0.1699803333,2.92955169
271,39.04936879,-84.68382028,874.9963645,0.2269063667,-0.03034280878,0.1699803306,2.929551699
271.508,39.04936879,-84.68382028,874.9963655,0.2269063796,-0.03034416237,0.1699803253,2.929551763
272.008,39.04936879,-84.68382028,874.9963661,0.226906829,-0.03034446228,0.1699803243,2.929551719
272.5,39.04936879,-84.68382028,874.9963669,0.2269055913,-0.03034539236,0.1699803201,2.929551668
273.008,39.04936879,-84.68382028,874.9963676,0.2269056405,-0.03034614308,0.1699803172,2.929551675
273.508,39.04936879,-84.68382028,874.9963684,0.226905488,-0.03034691835,0.1699803141,2.929551475
274.008,39.04936879,-84.68382028,874.9963692,0.2269043223,-0.03034786087,0.16998031,2.929551706
274.517,39.04936879,-84.68382028,874.9963699,0.2269048527,-0.03034837772,0.1699803082,2.929551785
275.017,39.04936879,-84.68382028,874.9963705,0.2269053825,-0.03034896897,0.1699803061,2.929551735
275.508,39.04936879,-84.68382028,874.9963711,0.2269048552,-0.03034931403,0.1699803045,2.92955172
276.008,39.04936879,-84.68382028,874.9963719,0.2269036719,-0.03035011784,0.1699803009,2.929551874
276.5,39.04936879,-84.68382028,874.9963726,0.2269046017,-0.03035056827,0.1699802995,2.92955176
277,39.04936879,-84.68382028,874.9963731,0.2269052115,-0.03035061422,0.1699802996,2.929551861
277.5,39.04936879,-84.68382028,874.9963738,0.2269064075,-0.03035092338,0.1699802989,2.929551847
278.017,39.04936879,-84.68382028,874.9963743,0.226906762,-0.03035136715,0.1699802973,2.929551806
278.5,39.04936879,-84.68382028,874.9963754,0.2269067938,-0.03035299553,0.1699802909,2.929551609
279,39.04936879,-84.68382028,874.9963762,0.2269065788,-0.03035386407,0.1699802874,2.929551884
279.508,39.04936879,-84.68382028,874.996377,0.2269081627,-0.03035481698,0.1699802843,2.929551644
